Number,Name,Region,Area,Island,County,Classification,Metres,Feet,Feature,Observations,Survey,Climbed,Country,Latitude,Longitude
536,Ben Avon - Leabaidh an Daimh Bhuidhe,08B: Cairngorms,,,Aberdeenshire/Moray,"Ma,M,Sim",1172,3845,tor,,Abney level/Leica RX1250,,S,57.099347,-3.434438
27,Stob Binnein,01C: Loch Lomond to Strathyre,,,Stirling,"Ma,M,Sim",1165,3822,cairn,,,,S,56.370717,-4.535753
537,Beinn Mheadhoin SW Top [Beinn Mheadhoin South Top],08A: Cairngorms,,,Moray,"sSim,xMT",1163,3816,cairn on rock tor,,,,S,57.090951,-3.621319
538,Beinn Bhrotain,08A: Cairngorms,,,Aberdeenshire,"Ma,M,Sim",1157,3796,trig point,ground 25m N at NN 95420 92305 is as high,Abney level,,S,57.009868,-3.723797
457,Lochnagar - Cac Carn Beag,07A: Braemar to Montrose,,,Aberdeenshire,"Ma,M,Sim",1155.7,3792,rock tor 2m NE of trig point,,obvious summit/Leica RX1250,,S,56.960272,-3.245261
539,Derry Cairngorm,08A: Cairngorms,,,Aberdeenshire,"Hu,M,Sim,sMa",1155,3789,northern of two cairns,lower cairn is 40m SSE at NO 01751 97986,,,S,57.062801,-3.622004
458,Cac Carn Mor,07A: Braemar to Montrose,,,Aberdeenshire,"sSim,xMT",1151.3,3777,cairn on tor,,obvious summit/Leica RX1250,,S,56.956227,-3.242742
541,A' Chioch,08B: Cairngorms,,,Aberdeenshire,xMT,1151,3776,granite tor,tor 17m E is lower,Leica NA320,,S,57.070312,-3.489614
805,Sgurr nan Ceathramhnan [Sgurr nan Ceathreamhnan],11A: Loch Duich to Cannich,,,Highland,"Ma,M,Sim",1151,3776,cairn,,obvious summit,,S,57.254911,-5.222732
926,Sgurr na Lapaich,12B: Killilan to Inverness,,,Highland,"Ma,M,Sim",1151,3776,large boulder 15m E of trig point,boulder is 1m higher than trig point (NH 16090 35111),Abney level,,S,57.369311,-5.059726
540,Cnap Coire na Spreidhe,08A: Cairngorms,,,Highland,MT,1150,3773,cairn on flat rock on large plateau,boulder 50m NNW at NJ 01324 04943 is just lower,Abney level,,S,57.124463,-3.631043
191,Bidean nam Bian,03B: Loch Linnhe to Loch Etive,,,Highland,"Ma,M,Sim,CoH",1149.4,3771,cairn,top 200m WNW at NN141542 is lower,Abney level/Leica RX1250,,S,56.642768,-5.029335
345,Ben Alder,04B: Loch Treig to Loch Ericht,,,Highland,"Ma,M,Sim",1148,3766,trig point,cairn 15m E at NN 49633 71847 may be as high,,,S,56.813796,-4.465089
806,Stob a' Choire Dhomhain,11A: Loch Duich to Cannich,,,Highland,"MT,Sim",1146.5,3761,no feature,,Abney level/Leica RX1250,,S,57.289903,-5.102463
807,Sgurr nan Ceathreamhnan West Top,11A: Loch Duich to Cannich,,,Highland,"MT,Sim",1143,3750,cairn,,obvious summit,,S,57.254451,-5.229442
19757,Bidean nam Bian West Top,03B: Loch Linnhe to Loch Etive,,,Highland,Un,1141.1,3744,cairn,,Leica RX1250,,S,56.643123,-5.032839
542,Fiacaill a' Choire Chais,08A: Cairngorms,,,Highland/Moray,xMT,1141,3743,cairn,,,,S,57.115914,-3.654714
808,Stob Coire Dhomhnuill,11A: Loch Duich to Cannich,,,Highland,"MT,Sim",1139.1,3737,small rock,,Leica RX1250,,S,57.288705,-5.091307
19758,Ben Avon North Tor,08B: Cairngorms,,,Aberdeenshire/Moray,Un,1137.7,3733,tor,,Leica RX1250,,S,57.104723,-3.426275
543,Ben Avon West Top [Ben Avon SW Top],08B: Cairngorms,,,Aberdeenshire/Moray,"sSim,xMT",1137.6,3732,cairn,,Leica RX1250,,S,57.094869,-3.444136
346,Geal-charn,04B: Loch Treig to Loch Ericht,,,Highland,"Ma,M,Sim",1132,3714,large cairn,,,,S,56.837836,-4.509694
65,Ben Lui [Beinn Laoigh],01D: Inveraray to Crianlarich,,,Stirling,"Ma,M,Sim",1131.4,3712,cairn,cairn 150m NW at NN 26549 26406 (hill 66) is lower,Abney level/Leica RX1250,,S,56.397004,-4.810509
809,Sron Garbh,11A: Loch Duich to Cannich,,,Highland,"MT,sSim",1131,3711,cairn,,obvious summit,,S,57.290261,-5.080597
287,Binnein Mor,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Ma,M,Sim",1130,3707,rock by cairn,,,,S,56.754376,-4.925796
927,An Riabhachan,12B: Killilan to Inverness,,,Highland,"Ma,M,Sim",1129,3704,large cairn,NE top (NH 13828 34751) is about 4m lower,Abney level,,S,57.362438,-5.104728
658,Creag Meagaidh,09C: Loch Lochy to Loch Laggan,,,Highland,"Ma,M,Sim",1128.1,3701,large cairn,,obvious summit/Leica RX1250,,S,56.952023,-4.602117
66,Ben Lui NW Top,01D: Inveraray to Crianlarich,,,Stirling,xMT,1127,3698,cairn,cairn 150m SE at NN 26638 26288 (Hill 65)is higher,Abney level,,S,56.398021,-4.812059
232,Ben Cruachan,03C: Glen Etive to Glen Lochy,,,Argyll and Bute,"Ma,M,Sim,CoU,CoA",1127,3698,rock 3m from trig point,trig point destroyed,Leica RX1250,,S,56.42684,-5.131834
928,An Riabhachan NE Top,12B: Killilan to Inverness,,,Highland,xMT,1125,3691,cairn,,Abney level,,S,57.36512,-5.097287
544,Mullach Lochan nan Gabhar,08B: Cairngorms,,,Aberdeenshire/Moray,"sSim,xMT",1124,3688,tor,,Abney level/Leica RX1250,,S,57.102272,-3.41583
143,Meall Garbh,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Perth and Kinross,"Ma,M,Sim",1123.1,3685,small cairn,,Leica RX1250,,S,56.566122,-4.207714
288,Stob Coire na Ceannain,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"MT,Sim",1123,3684,cairn,,obvious summit,,S,56.830392,-4.840552
421,Beinn a' Ghlo - Carn nan Gabhar,06B: Pitlochry to Braemar & Blairgowrie,,,Perth and Kinross,"Ma,M,Sim",1121.9,3681,rock at base of large cairn,trig point 140m SW at NN 97047 73187 is probably lower,Leica RX1250,,S,56.839836,-3.688055
556,Fiacaill Coire an t-Sneachda,08A: Cairngorms,,,Highland,xMT,1122,3681,rock tor,,,,S,57.109472,-3.671633
286,Stob Choire Claurigh North Top,04A: Fort William to Loch Treig & Loch Leven,,,Highland,xMT,1121,3678,boulder,cairn 12m E and large boulder to NE are both lower,Abney level,,S,56.827398,-4.849292
547,Clach Choutsaich,08B: Cairngorms,,,Aberdeenshire/Moray,sSim,1121.2,3678,tor,,Leica RX1250,,S,57.099636,-3.415334
546,Carn Etchachan,08A: Cairngorms,,,Aberdeenshire/Moray,"MT,sSim",1120,3675,cairn,,,,S,57.088321,-3.646603
862,A' Chraileag [A' Chralaig],11B: Glen Affric to Glen Moriston,,,Highland,"Ma,M,Sim",1120,3675,very large cairn,,,,S,57.184186,-5.154837
545,Stuc Gharbh Mhor,08B: Cairngorms,,,Aberdeenshire,"sSim,xMT",1119.2,3672,tor,,Abney level/Leica RX1250,,S,57.094813,-3.408845
19759,Ben Avon South Tor,08B: Cairngorms,,,Aberdeenshire,Un,1118.9,3671,tor,,Leica RX1250,,S,57.089711,-3.438753
548,Sgor Gaoith,08A: Cairngorms,,,Highland,"Ma,M,Sim",1118,3668,ground on edge of crag,,obvious summit,,S,57.068561,-3.810856
142,An Stuc,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Perth and Kinross,"Hu,M,Sim",1117.1,3665,large rock 25m SW of cairn,cairn is at NN 63877 43079,Leica RX1250,,S,56.560092,-4.216265
659,Creag Meagaidh East Top,09C: Loch Lochy to Loch Laggan,,,Highland,xMT,1116.1,3662,no feature: tussock,summit area very flat,Leica RX1250,,S,56.952496,-4.592331
289,Stob Coire an Laoigh,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"M,Sim",1116,3661,circular stone wind shelter,,obvious summit,,S,56.810877,-4.884891
347,Aonach Beag,04B: Loch Treig to Loch Ericht,,,Highland,"M,Sim,sHu",1115.8,3661,cairn,,Leica RX1250,,S,56.833498,-4.529175
192,Stob Coire nan Lochan,03B: Loch Linnhe to Loch Etive,,,Highland,"Hu,MT,Sim",1115.6,3660,cairn,,obvious summit/Leica RX1250,,S,56.648848,-5.021795
290,Stob Coire Easain,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Ma,M,Sim",1115,3658,cairn,,,,S,56.818199,-4.77371
549,Monadh Mor,08A: Cairngorms,,,Aberdeenshire/Highland,"Hu,M,Sim",1113,3652,rock 12m SE of cairn,rock is 15cm higher than cairn at NN 93860 94216,Abney level,,S,57.026791,-3.750086
552,Sron Riach,08A: Cairngorms,,,Aberdeenshire,"MT,sSim",1113,3652,cairn,,,,S,57.060298,-3.650606
550,Stuc Gharbh Mhor (old GR),08B: Cairngorms,,,Aberdeenshire/Moray,xMT,1112,3648,no feature,large flat summit area,,,S,57.098177,-3.410095
810,Tom a' Choinich,11A: Loch Duich to Cannich,,,Highland,"Hu,M,Sim,sMa",1112,3648,large cairn,,obvious summit,,S,57.299518,-5.048959
551,Sgoran Dubh Mor,08A: Cairngorms,,,Highland,"MT,Sim",1111,3645,small rock tor 35m SW of cairn,cairn is at NH 90520 00296,obvious summit,,S,57.080415,-3.808167
459,Carn a' Choire Bhoidheach,07A: Braemar to Montrose,,,Aberdeenshire,"M,Sim",1109.9,3641,cairn,,Abney level/Leica RX1250,,S,56.945773,-3.272707
811,Ciste Dhubh,11A: Loch Duich to Cannich,,,Highland,"sSim,xMT",1109.5,3640,rock,cairn 140m SW at NH 11289 24546 and rock 250m E at NH 11661 24658 are both lower,Abney level/Leica RX1250,,S,57.273273,-5.129687
863,Sgurr nan Conbhairean,11B: Glen Affric to Glen Moriston,,,Highland,"Ma,M,Sim",1109,3638,large cairn,,obvious summit,,S,57.177622,-5.095407
1040,Sgurr Mor,14B: The Fannaichs,,,Highland,"Ma,M,Sim",1108.9,3638,large cairn,,obvious summit/Leica RX1250,,S,57.700133,-5.016765
233,Meall a' Bhuiridh,03C: Glen Etive to Glen Lochy,,,Highland,"Ma,M,Sim",1107.9,3635,cairn,,obvious summit/Leica RX1250,,S,56.612217,-4.852127
553,Beinn Bhrotain East Top,08A: Cairngorms,,,Aberdeenshire,sSim,1108,3635,cairn,,Abney level,,S,57.010526,-3.709878
554,Creagan a' Choire Etchachan,08A: Cairngorms,,,Aberdeenshire,"MT,Sim",1108,3635,cairn,,,,S,57.076937,-3.63153
193,Stob Coire nam Beith,03B: Loch Linnhe to Loch Etive,,,Highland,"MT,sSim",1106.9,3632,cairn,,Leica RX1250,,S,56.646082,-5.036829
555,Stob an t-Sluichd,08B: Cairngorms,,,Moray,"MT,sSim",1107,3632,rock,,,,S,57.107031,-3.467592
291,Caisteal,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"MT,Sim",1106,3629,cairn,,obvious summit,,S,56.814777,-4.874047
292,Stob a' Choire Mheadhoin,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Hu,M,Sim,sMa",1105,3625,cairn,,,,S,56.823685,-4.760183
293,Stob a' Choire Leith,04A: Fort William to Loch Treig & Loch Leven,,,Highland,MT,1105,3625,cairn,,,,S,56.821662,-4.858003
2924,Sron Bealach Beithe,04B: Loch Treig to Loch Ericht,,,Highland,sSim,1104,3622,large cairn,rocks 40m NW are as high as cairn base; higher rock in cairn appears to be embedded,Abney level,,S,56.804114,-4.459293
348,Beinn Eibhinn,04B: Loch Treig to Loch Ericht,,,Highland,"Hu,M,Sim",1103.3,3620,cairn 170m E of larger cairn,large cairn on W top (1102.5m) is 0.80m lower,Leica RX1250,,S,56.825255,-4.542077
144,Beinn Ghlas,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Perth and Kinross,"Hu,M,Sim",1103,3619,cairn,,obvious summit,,S,56.535996,-4.236992
234,Stob Dearg [Taynuilt Peak],03C: Glen Etive to Glen Lochy,,,Argyll and Bute,"MT,Sim,sHu",1103.1,3619,rock 2m from cairn,,Abney level/Leica RX1250,,S,56.428992,-5.143789
864,Mullach Fraoch-choire,11B: Glen Affric to Glen Moriston,,,Highland,"Ma,M,Sim",1102,3615,wind shelter 5m E of cairn,higher ground could be hidden under cairn,,,S,57.205379,-5.155652
294,Stob Coire Bhealaich,04A: Fort William to Loch Treig & Loch Leven,,,Highland,MT,1101,3612,outcrop,slightly higher than outcrop c75m E,Abney level/Leica RX1250,,S,56.794752,-4.946403
235,Creise,03C: Glen Etive to Glen Lochy,,,Highland,"Ma,M,Sim",1099.8,3608,small rock 3m from cairn,,Leica Disto D510/Leica RX1250,,S,56.614448,-4.871987
236,Clach Leathad,03C: Glen Etive to Glen Lochy,,,Highland,"MT,Sim",1099,3606,cairn,,Leica Disto/Leica RX1250,,S,56.602626,-4.868189
295,Sgurr a' Mhaim,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Ma,M,Sim",1099,3606,cairn,,,,S,56.75592,-5.00369
296,Sgurr Choinnich Mor,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Ma,M,Sim",1094,3589,cairn,,obvious summit,,S,56.80043,-4.90396
929,Sgurr nan Clachan Geala,12B: Killilan to Inverness,,,Highland,"MT,Sim",1093,3586,remains of cairn,,obvious summit,,S,57.3614,-5.057936
1041,Sgurr nan Clach Geala,14B: The Fannaichs,,,Highland,"Ma,M,Sim",1093,3586,cairn,base of cairn is higher than flush bracket of trig point,Abney level,,S,57.696278,-5.048237
237,Stob Ghabhar,03C: Glen Etive to Glen Lochy,,,Argyll and Bute/Highland,"Ma,M,Sim",1090,3576,cairn,,,,S,56.568103,-4.882099
557,Bynack More,08A: Cairngorms,,,Highland,"Ma,M,Sim",1090,3576,rock 45m N of cairn,cairn is at NJ 04190 06320,Abney level,,S,57.13822,-3.584716
558,Carn Eas,08B: Cairngorms,,,Aberdeenshire,"MT,sSim",1089,3573,embedded boulder 10m N of cairn,,Abney level,,S,57.076011,-3.448847
349,Beinn a' Chlachair,04B: Loch Treig to Loch Ericht,,,Highland,"Ma,M,Sim",1087,3566,cairn,,obvious summit,,S,56.869525,-4.509684
930,An Riabhachan SW Top,12B: Killilan to Inverness,,,Highland,MT,1086,3563,small cairn,,obvious summit,,S,57.354228,-5.121945
1963,Snowdon - Yr Wyddfa,30B: Snowdonia,Snowdon,,Gwynedd,"Ma,F,Sim,Hew,N,CoH,CoU,CoA",1085,3560,trig point/view indicator,,,,W,53.068496,-4.076231
1062,Beinn Dearg,15A: Loch Broom to Strath Oykel,,,Highland,"Ma,M,Sim",1084,3556,large cairn,,,,S,57.78635,-4.929557
460,Cuidhe Crom,07A: Braemar to Montrose,,,Aberdeenshire,"MT,Sim",1083.2,3554,tor,cairn 140 NW at NO 25898 85015 is lower,Abney level/Leica RX1250,,S,56.949604,-3.218222
103,Schiehallion,02A: Loch Rannoch to Glen Lyon,,,Perth and Kinross,"Ma,M,Sim",1083,3553,rock 20m NW of cairn,this rock is 15cm higher than a rock under the cairn (NN 71397 54747),Abney level,,S,56.666933,-4.100229
559,Beinn a' Chaorainn,08B: Cairngorms,,,Aberdeenshire/Moray,"Ma,M,Sim",1083,3553,large cairn,,,,S,57.093272,-3.577434
560,Fiacaill na Leth-choin,08A: Cairngorms,,,Highland,xMT,1083,3553,cairn,,,,S,57.10142,-3.693211
884,Sgurr a' Choire Ghlais,12A: Kyle of Lochalsh to Garve,,,Highland,"Ma,M,Sim",1083,3553,large cairn,Cairn 60m NW of the trig point is probably slightly higher than one to the south of the trig point and probably slightly higher than the trig point,Abney level,,S,57.444288,-4.903757
298,Stob Coire Cath na Sine,04A: Fort William to Loch Treig & Loch Leven,,,Highland,MT,1082.4,3551,cairn,,,,S,56.816005,-4.864799
561,Stob Coire Etchachan,08A: Cairngorms,,,Aberdeenshire/Moray,"MT,sSim",1082,3550,small cairn,,,,S,57.0854,-3.610747
104,Beinn a' Chreachain,02A: Loch Rannoch to Glen Lyon,,,Perth and Kinross,"Ma,M,Sim",1080.6,3545,large cairn,,Leica RX1250,,S,56.560386,-4.647622
297,Stob Coire Easain,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"MT,Sim",1080,3543,cairn,,obvious summit,,S,56.812523,-4.893359
238,Ben Starav,03C: Glen Etive to Glen Lochy,,,Highland,"Ma,M,Sim",1079.5,3542,cairn,trig point destroyed,Leica RX1250,,S,56.538922,-5.049748
145,Beinn Sheasgarnaich [Beinn Heasgarnich],02B: Glen Lyon to Glen Dochart & Loch Tay,,,Perth and Kinross,"Ma,M,Sim",1077.4,3535,large cairn,,obvious summit/Leica RX1250,,S,56.510272,-4.579218
105,Beinn Dorain,02A: Loch Rannoch to Glen Lyon,,,Argyll and Bute,"Ma,M,Sim",1076,3530,large cairn,,obvious summit,,S,56.50287,-4.722157
562,Stob Bac an Fhurain,08B: Cairngorms,,,Moray,xMT,1076,3530,outcrop,tor 165m NE at NJ 13816 03407 is c.0.5m lower,Abney level,,S,57.112791,-3.427048
812,Stuc Bheag,11A: Loch Duich to Cannich,,,Highland,"MT,Sim",1075,3527,small cairn,,obvious summit,,S,57.262675,-5.229133
813,An Tudair,11A: Loch Duich to Cannich,,,Highland,"MT,Sim",1073.4,3522,knoll 10m W of cairn,knoll is 75cm higher than visible ground by cairn (NH 12765 23933),Abney level/Leica RX1250,,S,57.267736,-5.106902
194,Stob Coire Sgreamhach,03B: Loch Linnhe to Loch Etive,,,Highland,"Hu,M,Sim",1072,3517,cairn,ground 50m W is about 1m lower,Abney level,,S,56.638314,-5.010284
660,Puist Coire Ardair,09C: Loch Lochy to Loch Laggan,,,Highland,"MT,Sim",1070.8,3513,small cairn on stony outcrop,,Leica RX1250,,S,56.950233,-4.571353
299,Stob an Chul-Choire [Stob an Cul Choire],04A: Fort William to Loch Treig & Loch Leven,,,Highland,"MT,Sim",1070.1,3511,rock by cairn,cairn 60m E at NN 20377 73113 is probably lower,Leica RX1250,,S,56.814649,-4.945409
240,Mam Coire Easain,03C: Glen Etive to Glen Lochy,,,Highland,xMT,1070,3510,rock c. 30m SE of cairn,,,,S,56.60868,-4.87106
422,Beinn a' Ghlo - Braigh Coire Chruinn-bhalgain,06B: Pitlochry to Braemar & Blairgowrie,,,Perth and Kinross,"Ma,M,Sim",1070,3510,flat rock 7m S of cairn,,Leica Disto D510/Leica RX1250,,S,56.831083,-3.729505
661,Creag Mhor,09C: Loch Lochy to Loch Laggan,,,Highland,xMT,1069.7,3510,grassy mound at cliff edge,summit is 1 metre from small cairn,obvious summit/Leica RX1250,,S,56.950911,-4.562864
146,Meall Corranaich,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Perth and Kinross,"Ma,M,Sim",1069,3507,cairn,,obvious summit,,S,56.540946,-4.253469
815,Sgurr Fhuaran,11A: Loch Duich to Cannich,,,Highland,"Ma,M,Sim",1068.8,3507,cairn,,obvious summit/Leica RX1250,,S,57.19615,-5.34765
931,An Socach,12B: Killilan to Inverness,,,Highland,"Ma,M,Sim",1069,3507,trig point,,obvious summit,,S,57.350229,-5.158603
28,Stob Coire an Lochain,01C: Loch Lomond to Strathyre,,,Stirling,"MT,sSim",1068,3504,small cairn on rocky outcrop,,,,S,56.364913,-4.529521
239,Stob Coire Dheirg (1984-1990 position),03C: Glen Etive to Glen Lochy,,,Argyll and Bute/Highland,xMT,1068,3504,cairn by edge of crags,,,,S,56.536981,-5.04533
461,Glas Maol,07A: Braemar to Montrose,,,Angus,"Ma,M,Sim,CoH,CoU",1068,3504,trig point,ground to 20m N and S of trig point is about same height,Abney level,,S,56.873059,-3.368236
814,Stob Coire Coulavie,11A: Loch Duich to Cannich,,,Highland,xMT,1068,3504,rock,,Abney level,,S,57.267807,-5.135842
462,Creag a' Ghlas-uillt,07A: Braemar to Montrose,,,Aberdeenshire,MT,1066.9,3500,cairn,,Abney level/Leica RX1250,,S,56.943172,-3.24737
106,Carn Sasunnaich [Beinn Dorain North Top],02A: Loch Rannoch to Glen Lyon,,,Argyll and Bute,sSim,1066,3497,cairn,rock 5m S of cairn is as high as rock at base of cairn,Abney level,,S,56.506138,-4.723139
1964,Crib y Ddysgl,30B: Snowdonia,Snowdon,,Gwynedd,"F,Sim,Hew,N",1065.3,3495,rock 6m SW of trig point,,Leica NA730/Leica GS15,,W,53.075519,-4.07518
463,Cairn of Claise,07A: Braemar to Montrose,,,Aberdeenshire/Angus,"Hu,M,Sim",1064,3491,cairn on rocky knoll,,Abney level,,S,56.89417,-3.338637
1965,Carnedd Llewelyn,30B: Snowdonia,The Carneddau,,Conwy/Gwynedd,"Ma,F,Sim,Hew,N,CoU",1064,3491,cairn,shelter 25m SW of cairn (SH 68376 64350) is 0.5m lower; ground at SH 68293 64476 and tors at SH 68233 64495 and SH 68194 64466 are all several metres lower,Abney level,,W,53.160168,-3.970333
816,Ciste Dhubh East Top,11A: Loch Duich to Cannich,,,Highland,sSim,1062.9,3487,no feature: grass,,obvious summit/Leica RX1250,,S,57.271052,-5.11488
1003,An Teallach - Bidein a' Ghlas Thuill,14A: Loch Maree to Loch Broom,,,Highland,"Ma,M,Sim",1062.5,3486,rocks 6m S of trig point,,Abney level/Leica RX1250,,S,57.807098,-5.251767
300,Binnein Mor South Top,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"MT,sSim",1062,3484,cairn,rock 7m W may be as high,,,S,56.748438,-4.927167
423,Airgiod Bheinn,06B: Pitlochry to Braemar & Blairgowrie,,,Perth and Kinross,"MT,Sim",1061.7,3483,large rock,,obvious summit/Leica RX1250,,S,56.827794,-3.702754
563,Stob Dubh an Eas Bhig,08B: Cairngorms,,,Aberdeenshire,xMT,1061,3481,tor,,,,S,57.084963,-3.431276
1004,An Teallach - Sgurr Fiona,14A: Loch Maree to Loch Broom,,,Highland,"Hu,M,Sim,sMa",1058.7,3473,cairn,,obvious summit/Leica RX1250,,S,57.800726,-5.259443
932,An Socach East Top,12B: Killilan to Inverness,,,Highland,Un,1057,3468,rock,ground by small cairn 5m W is just lower; ground 40m E at NH 10454 33357 is lower,Abney level,,S,57.351235,-5.152903
933,Rubha na Spreidhe,12B: Killilan to Inverness,,,Highland,xMT,1057,3468,outcrop 3m E of large cairn,,,,S,57.373749,-5.056485
